feature,mean_ai_positive_1,mean_ai_positive_0,difference,standardized_difference,standardized_difference_abs,n_ai_positive_1,n_ai_positive_0
bigram_diversity,0.8833169690682976,0.9096680849980008,-0.026351115929703184,-0.3585637328840121,0.3585637328840121,4112,28466
word_shannon_entropy,6.279001444225977,6.365722679202098,-0.08672123497612105,-0.338644656011804,0.338644656011804,4112,28466
repetition_rate,0.4046085770564986,0.3794367688470393,0.0251718082094593,0.33356253827113563,0.33356253827113563,4112,28466
type_token_ratio,0.5953914229435014,0.6205632311529606,-0.02517180820945919,-0.33356253827113413,0.33356253827113413,4112,28466
unique_word_ratio,0.4270969575004188,0.45490340333732193,-0.027806445836903115,-0.2936993021712704,0.2936993021712704,4112,28466
avg_word_length,5.016980797470305,5.15761161279415,-0.1406308153238447,-0.27081634822736034,0.27081634822736034,4112,28466
trigram_transition_entropy,0.14316874128456775,0.12376463847944004,0.019404102805127707,0.268465202511479,0.268465202511479,4112,28466
punctuation_density,0.04072164395392243,0.034622618777814564,0.006099025176107865,0.25431718198369024,0.25431718198369024,4112,28466
bigram_transition_entropy,0.897349364863254,0.8699257620349817,0.027423602828272275,0.171421615431758,0.171421615431758,4112,28466
sentence_entropy_mean,4.0758416754256315,4.135848725807869,-0.06000705038223764,-0.11787893816272209,0.11787893816272209,4112,28466
char_shannon_entropy,4.529464167329909,4.510400893983606,0.019063273346302978,0.09928529036154791,0.09928529036154791,4112,28466
sentence_count,7.570768482490273,7.337420080095552,0.23334840239472054,0.09650304222518365,0.09650304222518365,4112,28466
vader_compound,0.15636361867704282,0.1955275486545352,-0.03916392997749238,-0.059677362134392474,0.059677362134392474,4112,28466
word_count,177.08560311284046,175.31093234033585,1.7746707725046065,0.0594227029549337,0.0594227029549337,4112,28466
hybrid_sentiment,-0.30111443514232505,-0.27226911020766886,-0.02884532493465619,-0.0590274388852431,0.0590274388852431,4112,28466
hf_sentiment,-0.758592488961693,-0.7400657690698731,-0.018526719891819865,-0.030264988724250312,0.030264988724250312,4112,28466
avg_sentence_length,27.363027247762915,27.071010348566443,0.2920168991964722,0.016796124384204518,0.016796124384204518,4112,28466
sentence_length_std,13.405496713852592,13.241532981759171,0.1639637320934213,0.013548871350793195,0.013548871350793195,4112,28466
sentence_entropy_std,0.7278776523595852,0.7263876782017781,0.0014899741578071612,0.0035190468907678545,0.0035190468907678545,4112,28466
