model,feature,importance_type,importance,importance_abs
logistic_regression,word_count,standardized_coefficient,-0.16933542145189892,0.16933542145189892
logistic_regression,bigram_diversity,standardized_coefficient,-0.45738952432335267,0.45738952432335267
logistic_regression,vader_compound,standardized_coefficient,-0.069718666961106,0.069718666961106
logistic_regression,hf_sentiment,standardized_coefficient,0.03919010021768127,0.03919010021768127
logistic_regression,hybrid_sentiment,standardized_coefficient,-0.022182963407783814,0.022182963407783814
logistic_regression,char_shannon_entropy,standardized_coefficient,-0.11185196494174118,0.11185196494174118
logistic_regression,word_shannon_entropy,standardized_coefficient,0.006711734048723157,0.006711734048723157
logistic_regression,bigram_transition_entropy,standardized_coefficient,0.19321340586903396,0.19321340586903396
logistic_regression,trigram_transition_entropy,standardized_coefficient,-0.1138480609864956,0.1138480609864956
logistic_regression,sentence_entropy_mean,standardized_coefficient,-0.14515021883705861,0.14515021883705861
logistic_regression,sentence_entropy_std,standardized_coefficient,-0.10582639604720956,0.10582639604720956
logistic_regression,sentence_count,standardized_coefficient,0.012460187779638615,0.012460187779638615
logistic_regression,avg_sentence_length,standardized_coefficient,0.06571781919150735,0.06571781919150735
logistic_regression,sentence_length_std,standardized_coefficient,-0.031437376925421485,0.031437376925421485
logistic_regression,avg_word_length,standardized_coefficient,-0.1645205958234664,0.1645205958234664
logistic_regression,type_token_ratio,standardized_coefficient,-0.04141083976490101,0.04141083976490101
logistic_regression,unique_word_ratio,standardized_coefficient,0.2927404319691932,0.2927404319691932
logistic_regression,repetition_rate,standardized_coefficient,0.041410839764901536,0.041410839764901536
logistic_regression,punctuation_density,standardized_coefficient,0.17399743780923474,0.17399743780923474
random_forest,word_count,random_forest_importance,0.043403945826015734,0.043403945826015734
random_forest,bigram_diversity,random_forest_importance,0.05739823625971341,0.05739823625971341
random_forest,vader_compound,random_forest_importance,0.05231268375154073,0.05231268375154073
random_forest,hf_sentiment,random_forest_importance,0.05902090190588973,0.05902090190588973
random_forest,hybrid_sentiment,random_forest_importance,0.05134649014154865,0.05134649014154865
random_forest,char_shannon_entropy,random_forest_importance,0.057379625123379935,0.057379625123379935
random_forest,word_shannon_entropy,random_forest_importance,0.06541225729375592,0.06541225729375592
random_forest,bigram_transition_entropy,random_forest_importance,0.05659696578118899,0.05659696578118899
random_forest,trigram_transition_entropy,random_forest_importance,0.055385408183064165,0.055385408183064165
random_forest,sentence_entropy_mean,random_forest_importance,0.0518261981792623,0.0518261981792623
random_forest,sentence_entropy_std,random_forest_importance,0.055122202120835254,0.055122202120835254
random_forest,sentence_count,random_forest_importance,0.01650036339182443,0.01650036339182443
random_forest,avg_sentence_length,random_forest_importance,0.047289372296628635,0.047289372296628635
random_forest,sentence_length_std,random_forest_importance,0.05603306821467159,0.05603306821467159
random_forest,avg_word_length,random_forest_importance,0.06345585221008428,0.06345585221008428
random_forest,type_token_ratio,random_forest_importance,0.04763551220759247,0.04763551220759247
random_forest,unique_word_ratio,random_forest_importance,0.054897865637827566,0.054897865637827566
random_forest,repetition_rate,random_forest_importance,0.04913667403799986,0.04913667403799986
random_forest,punctuation_density,random_forest_importance,0.05984637743717616,0.05984637743717616
