feature,PC1,PC2,PC3,PC4,PC5,max_abs_loading
hybrid_sentiment,0.025527676582510407,0.010597762407937202,-0.28342331339101184,0.6093363254926734,-0.05209261133151473,0.6093363254926734
vader_compound,-0.005960141992648559,0.006908548453266446,-0.17411854689479175,0.5116225834122833,-0.2216367637722619,0.5116225834122833
sentence_entropy_std,-0.038926706750741696,-0.1461353958254729,0.3478874618974784,0.21630235766432557,0.46969066016783506,0.46969066016783506
avg_sentence_length,-0.11287585551771816,0.45882571694007634,-0.08326929877170622,-0.03705436525209359,0.11712001007408208,0.45882571694007634
sentence_entropy_mean,0.02140341854720212,0.4547704370971148,-0.2925628488855597,-0.16513961872812105,-0.1829216189177019,0.4547704370971148
avg_word_length,0.2193320672066386,-0.03127604576174883,-0.18626473923985812,-0.0703794322710082,0.45149406617211313,0.45149406617211313
hf_sentiment,0.047153566097015404,0.009515229317796121,-0.2658824203065849,0.42442867563308107,0.154459980443712,0.42442867563308107
sentence_count,8.906585394486495e-05,-0.41452113383714606,0.2796462931948889,0.13600789562919893,0.0484078652227325,0.41452113383714606
sentence_length_std,-0.15109097527315465,0.35598969011969855,0.16505072955047037,0.10589770246399798,0.4136779419464032,0.4136779419464032
char_shannon_entropy,-0.1378162945035429,0.13246943769719285,0.3991770103854783,0.14253805816275364,-0.36950797864652407,0.3991770103854783
type_token_ratio,0.38914215184210865,0.07755955106019538,0.10556166481541555,0.030343021257894048,-0.04762180797968139,0.38914215184210865
repetition_rate,-0.38914215184210865,-0.07755955106019541,-0.10556166481541558,-0.030343021257894072,0.047621807979681394,0.38914215184210865
unique_word_ratio,0.3706275551602471,0.09133061729114395,0.08151669734925751,0.03712746072268013,-0.014043395044602964,0.3706275551602471
punctuation_density,-0.21671347279725772,0.1602781139432552,0.34740437008403774,0.15861865659252072,-0.26160965796518243,0.34740437008403774
bigram_diversity,0.3462209645083325,0.08164789017400043,0.02292234979846794,0.017193211572008288,-0.023706891671062272,0.3462209645083325
trigram_transition_entropy,-0.33267933110684944,-0.07116254382123126,-0.08104442487277119,-0.04206282015528447,-0.009026161827408851,0.33267933110684944
word_count,-0.20587525687852856,0.3302134337065978,0.19831717346803562,0.1240957317876192,0.22827451090626152,0.3302134337065978
word_shannon_entropy,0.2626509223191991,0.2776574283596262,0.27352940179568164,0.10241706274793694,0.036847495087357664,0.2776574283596262
bigram_transition_entropy,-0.25167292258497925,0.006894617595140061,-0.18645217930424254,-0.008037009783015291,0.12401655778417503,0.25167292258497925
